pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
Actor-Critic training
pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
Episode finished after 50 timesteps, total rewards -50, global rewards -48.69857711366781 (g_ep 193), action: [1. 1.], time: 22:50:51.554490
Episode finished after 50 timesteps, total rewards -50, global rewards -48.749858368066604 (g_ep 197), action: [1. 0.], time: 22:50:59.300433
Episode finished after 50 timesteps, total rewards -50, global rewards -48.799118936429885 (g_ep 201), action: [1. 1.], time: 22:51:07.311243
Episode finished after 50 timesteps, total rewards -50, global rewards -48.83478630489898 (g_ep 204), action: [1. 0.], time: 22:51:16.522674
Episode finished after 50 timesteps, total rewards -49, global rewards -48.88189336995171 (g_ep 209), action: [0. 0.], time: 22:51:27.591911
Episode finished after 50 timesteps, total rewards -50, global rewards -48.915102254970776 (g_ep 212), action: [0. 1.], time: 22:51:36.187625
Episode finished after 50 timesteps, total rewards -50, global rewards -48.94732480289589 (g_ep 215), action: [0. 1.], time: 22:51:45.216361
Episode finished after 50 timesteps, total rewards -50, global rewards -48.99891636177747 (g_ep 220), action: [1. 1.], time: 22:51:55.059270
Episode finished after 50 timesteps, total rewards -50, global rewards -49.04797942093268 (g_ep 225), action: [0. 0.], time: 22:52:06.073033pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
Episode finished after 50 timesteps, total rewards -44, global rewards -43.0298 (g_ep 3), action: [0. 1.], time: 22:44:21.676537
Episode finished after 50 timesteps, total rewards -49, global rewards -43.196243711098006 (g_ep 7), action: [1. 1.], time: 22:44:28.624261
Episode finished after 50 timesteps, total rewards -44, global rewards -43.365330875868324 (g_ep 11), action: [0. 1.], time: 22:44:36.403948
Episode finished after 50 timesteps, total rewards -50, global rewards -43.56854537168891 (g_ep 15), action: [0. 1.], time: 22:44:44.430518
Episode finished after 50 timesteps, total rewards -50, global rewards -43.75365737554833 (g_ep 19), action: [0.        0.5372553], time: 22:44:51.511926
Episode finished after 50 timesteps, total rewards -50, global rewards -43.960386197858796 (g_ep 23), action: [1. 1.], time: 22:44:57.628130
Episode finished after 50 timesteps, total rewards -50, global rewards -44.12015909972222 (g_ep 27), action: [0. 1.], time: 22:45:04.473937
Episode finished after 50 timesteps, total rewards -50, global rewards -44.38882581884078 (g_ep 32), action: [1.         0.83642197], time: 22:45:13.959820
Episode finished after 50 timesteps, total rewards -50, global rewards -44.51191550016344 (g_ep 36), action: [1.         0.72510576], time: 22:45:21.055690
Episode finished after 50 timesteps, total rewards -50, global rewards -44.68906193691415 (g_ep 40), action: [0.         0.94051385], time: 22:45:26.273340
Episode finished after 50 timesteps, total rewards -47, global rewards -44.8092310872426 (g_ep 44), action: [0.       0.502409], time: 22:45:32.442230
Episode finished after 50 timesteps, total rewards -50, global rewards -45.0137680935732 (g_ep 48), action: [0. 1.], time: 22:45:38.384559
Episode finished after 50 timesteps, total rewards -50, global rewards -45.11299410851109 (g_ep 50), action: [1. 1.], time: 22:45:42.829722
Episode finished after 50 timesteps, total rewards -50, global rewards -45.30556163978925 (g_ep 54), action: [1. 0.], time: 22:45:51.937933
Episode finished after 50 timesteps, total rewards -48, global rewards -45.45103725199062 (g_ep 58), action: [0. 1.], time: 22:46:00.105492
Episode finished after 50 timesteps, total rewards -44, global rewards -45.48226957462355 (g_ep 62), action: [1.        0.7018823], time: 22:46:07.046536
Episode finished after 50 timesteps, total rewards -50, global rewards -45.567247685987645 (g_ep 65), action: [0.         0.23164341], time: 22:46:13.139132
Episode finished after 50 timesteps, total rewards -50, global rewards -45.82665168914602 (g_ep 71), action: [1. 1.], time: 22:46:19.862171
Episode finished after 50 timesteps, total rewards -50, global rewards -45.99109826425342 (g_ep 75), action: [0.        0.0551576], time: 22:46:27.335973
Episode finished after 50 timesteps, total rewards -50, global rewards -46.149064988159765 (g_ep 79), action: [1. 1.], time: 22:46:34.724944
Episode finished after 50 timesteps, total rewards -50, global rewards -46.27140419285697 (g_ep 83), action: [1. 1.], time: 22:46:42.624567
Episode finished after 50 timesteps, total rewards -50, global rewards -46.41832574475567 (g_ep 87), action: [0.         0.44620708], time: 22:46:52.027826
Episode finished after 50 timesteps, total rewards -50, global rewards -46.52470505181068 (g_ep 90), action: [0. 1.], time: 22:46:59.176041
Episode finished after 50 timesteps, total rewards -49, global rewards -46.61792478706685 (g_ep 93), action: [1. 0.], time: 22:47:07.090901
Episode finished after 50 timesteps, total rewards -50, global rewards -46.741489054936515 (g_ep 97), action: [1. 1.], time: 22:47:15.103827
Episode finished after 50 timesteps, total rewards -50, global rewards -46.85998738763069 (g_ep 101), action: [0. 1.], time: 22:47:23.972742
Episode finished after 50 timesteps, total rewards -48, global rewards -46.96371641320836 (g_ep 105), action: [1. 1.], time: 22:47:31.674819
Episode finished after 50 timesteps, total rewards -50, global rewards -47.11252452028647 (g_ep 110), action: [0. 1.], time: 22:47:42.025985
Episode finished after 50 timesteps, total rewards -50, global rewards -47.22630257521435 (g_ep 114), action: [0. 0.], time: 22:47:52.163971
Episode finished after 50 timesteps, total rewards -50, global rewards -47.27928116242791 (g_ep 117), action: [1. 1.], time: 22:48:00.925663
Episode finished after 50 timesteps, total rewards -50, global rewards -47.41262345689344 (g_ep 122), action: [1. 1.], time: 22:48:09.740836
Episode finished after 50 timesteps, total rewards -50, global rewards -47.514576416324246 (g_ep 126), action: [1. 1.], time: 22:48:19.344093
Episode finished after 50 timesteps, total rewards -50, global rewards -47.588395982183 (g_ep 129), action: [1. 1.], time: 22:48:26.103696
Episode finished after 50 timesteps, total rewards -50, global rewards -47.7295226890096 (g_ep 135), action: [1. 0.], time: 22:48:38.493867
Episode finished after 50 timesteps, total rewards -50, global rewards -47.81898855426709 (g_ep 139), action: [1. 0.], time: 22:48:51.294894
Episode finished after 50 timesteps, total rewards -50, global rewards -47.92587981638999 (g_ep 144), action: [0. 0.], time: 22:49:04.800812
Episode finished after 50 timesteps, total rewards -50, global rewards -47.98748325996339 (g_ep 147), action: [0. 1.], time: 22:49:11.042067
Episode finished after 50 timesteps, total rewards -50, global rewards -48.066784449462624 (g_ep 151), action: [1. 0.], time: 22:49:19.339985
Episode finished after 50 timesteps, total rewards -50, global rewards -48.14296085568384 (g_ep 155), action: [0.         0.13814211], time: 22:49:27.288505
Episode finished after 50 timesteps, total rewards -50, global rewards -48.21613560755608 (g_ep 159), action: [1. 0.], time: 22:49:36.687949
Episode finished after 50 timesteps, total rewards -50, global rewards -48.2864269822373 (g_ep 163), action: [0. 1.], time: 22:49:45.671739
Episode finished after 50 timesteps, total rewards -50, global rewards -48.35394859629349 (g_ep 167), action: [1. 1.], time: 22:49:53.940257
Episode finished after 50 timesteps, total rewards -50, global rewards -48.418809589344626 (g_ep 171), action: [0. 0.], time: 22:50:02.361351
Episode finished after 50 timesteps, total rewards -50, global rewards -48.471214800474186 (g_ep 175), action: [0. 0.], time: 22:50:13.295426
Episode finished after 50 timesteps, total rewards -50, global rewards -48.501952047188446 (g_ep 179), action: [1. 0.], time: 22:50:22.193687
Episode finished after 50 timesteps, total rewards -50, global rewards -48.56098111374055 (g_ep 183), action: [0. 1.], time: 22:50:29.423928
Episode finished after 50 timesteps, total rewards -50, global rewards -48.61768419954452 (g_ep 187), action: [1. 0.], time: 22:50:38.990839
Episode finished after 50 timesteps, total rewards -50, global rewards -48.67215295752251 (g_ep 191), action: [0. 1.], time: 22:50:46.439013
Episode finished after 50 timesteps, total rewards -50, global rewards -48.724475429105816 (g_ep 195), action: [1. 0.], time: 22:50:55.147823
