Episode 247 finished after 25 timesteps, total rewards -24
Episode 248 finished after 25 timesteps, total rewards -21
Episode 249 finished after 25 timesteps, total rewards -23
Episode 250 finished after 25 timesteps, total rewards -17
Episode 251 finished after 25 timesteps, total rewards -23
Episode 252 finished after 25 timesteps, total rewards -21
Episode 253 finished after 25 timesteps, total rewards -19
Episode 254 finished after 3 timesteps, total rewards 4
Episode 255 finished after 25 timesteps, total rewards -24
Episode 256 finished after 25 timesteps, total rewards -23
Episode 257 finished after 25 timesteps, total rewards -23
Episode 258 finished after 25 timesteps, total rewards -19
Episode 259 finished after 25 timesteps, total rewards -18
Episode 260 finished after 25 timesteps, total rewards -23
Episode 261 finished after 25 timesteps, total rewards -23
Episode 262 finished after 25 timesteps, total rewards -21
Episode 263 finished after 25 timesteps, total rewards -20
Episode 264 finished after 20 timesteps, total rewards -11
Episode 265 finished after 25 timesteps, total rewards -19
Episode 266 finished after 25 timesteps, total rewards -20
Episode 267 finished after 25 timesteps, total rewards -20
Episode 268 finished after 25 timesteps, total rewards -23
Episode 269 finished after 15 timesteps, total rewards -5
Episode 270 finished after 25 timesteps, total rewards -22
Episode 271 finished after 25 timesteps, total rewards -21
Episode 272 finished after 25 timesteps, total rewards -19
Episode 273 finished after 25 timesteps, total rewards -21
Episode 274 finished after 25 timesteps, total rewards -23
Episode 275 finished after 25 timesteps, total rewards -22
Episode 276 finished after 25 timesteps, total rewards -23
Episode 277 finished after 25 timesteps, total rewards -20
Episode 278 finished after 25 timesteps, total rewards -20
Episode 279 finished after 25 timesteps, total rewards -17
Episode 280 finished after 25 timesteps, total rewards -21
Episode 281 finished after 25 timesteps, total rewards -23
Episode 282 finished after 25 timesteps, total rewards -24
Episode 283 finished after 25 timesteps, total rewards -23
Episode 284 finished after 6 timesteps, total rewards 1
Episode 285 finished after 25 timesteps, total rewards -19
Episode 286 finished after 25 timesteps, total rewards -19
Episode 287 finished after 25 timesteps, total rewards -22
Episode 288 finished after 25 timesteps, total rewards -20
Episode 289 finished after 25 timesteps, total rewards -21
Episode 290 finished after 25 timesteps, total rewards -18
Episode 291 finished after 25 timesteps, total rewards -22
Episode 292 finished after 25 timesteps, total rewards -19
Episode 293 finished after 25 timesteps, total rewards -22
Episode 294 finished after 25 timesteps, total rewards -20
Episode 295 finished after 16 timesteps, total rewards -10
Episode 296 finished after 25 timesteps, total rewards -23
Episode 297 finished after 14 timesteps, total rewards -8
Episode 298 finished after 25 timesteps, total rewards -22
Episode 299 finished after 25 timesteps, total rewards -24
Episode 300 finished after 25 timesteps, total rewards -17
Episode 301 finished after 25 timesteps, total rewards -21
Episode 302 finished after 25 timesteps, total rewards -23
Episode 303 finished after 25 timesteps, total rewards -22
Episode 304 finished after 25 timesteps, total rewards -22
Episode 305 finished after 25 timesteps, total rewards -19
Episode 306 finished after 4 timesteps, total rewards 3
Episode 307 finished after 25 timesteps, total rewards -23
Episode 308 finished after 25 timesteps, total rewards -24
Episode 309 finished after 11 timesteps, total rewards -4
Episode 310 finished after 25 timesteps, total rewards -21
Episode 311 finished after 21 timesteps, total rewards -14
Episode 312 finished after 25 timesteps, total rewards -21
Episode 313 finished after 25 timesteps, total rewards -21
Episode 314 finished after 25 timesteps, total rewards -23
Episode 315 finished after 25 timesteps, total rewards -20
Episode 316 finished after 25 timesteps, total rewards -25
Episode 317 finished after 25 timesteps, total rewards -23
Episode 318 finished after 25 timesteps, total rewards -21
Episode 319 finished after 25 timesteps, total rewards -25
Episode 320 finished after 25 timesteps, total rewards -22
Episode 321 finished after 6 timesteps, total rewards 0
Episode 322 finished after 23 timesteps, total rewards -16
Episode 323 finished after 25 timesteps, total rewards -23
Episode 324 finished after 25 timesteps, total rewards -24
Episode 325 finished after 25 timesteps, total rewards -24
Episode 326 finished after 13 timesteps, total rewards -5
Episode 327 finished after 13 timesteps, total rewards -5
Episode 328 finished after 25 timesteps, total rewards -22
Episode 329 finished after 6 timesteps, total rewards 1
Episode 330 finished after 25 timesteps, total rewards -18
Episode 331 finished after 24 timesteps, total rewards -16
Episode 332 finished after 25 timesteps, total rewards -16
Episode 333 finished after 18 timesteps, total rewards -10
Episode 334 finished after 25 timesteps, total rewards -25
Episode 335 finished after 21 timesteps, total rewards -15
Episode 336 finished after 25 timesteps, total rewards -23
Episode 337 finished after 25 timesteps, total rewards -22
Episode 338 finished after 25 timesteps, total rewards -24
Episode 339 finished after 25 timesteps, total rewards -22
Episode 340 finished after 25 timesteps, total rewards -21
Episode 341 finished after 25 timesteps, total rewards -17
Episode 342 finished after 25 timesteps, total rewards -23
